datetime,username,content,hastags
2022-05-27 00:52:03,MocangTian,"@Mdy_Asmara1701 Anies Penyelamat Perubahan Indonesia ke depan.
Hanya Anies Baswedan yang berani Tutup Proyek Reklamasi Pantai Teluk Jakarta .Dan membuat Pengusaha Agung Podomoro marah besar kepada sdra Ahok .Karena Ahok berani memberikan  menjamin dan kemanan utk membangun pulau di teluk JKT.",
2022-05-12 08:33:16,Gandawan,"PDIP TERSINGUNG DAN MELAPORKAN SEKDA KABUPATEN DAIRI, SUMUT, BUDIANTA PINEM KE POLISI USAI MERYEBUT PUAN MAHARANI MENGIDAP PENITIKIT WASIR ATAU AMBEIEN LEWAT Facebook.
Harusnya PDIP RUGA TERSINGUNG DAN MARAH KEPADA KADER PDIP RUHUT SITompul Yang Menghina Anies Baswedan.",
2022-05-12 08:33:03,Gandawan,"@DETIKCOM PDIP TERSINGUNG DAN MELAPORKAN SEKDA KABUPATEN DAIRI, SUMUT, BUDIANTA PINEM KE POLISI USAI MENYEBUT PUAN MAHARANI MEMIDAP PENIKIT WASIR ATAU AMBEIEN LEWAT Facebook.
Harusnya PDIP RUGA TERSINGUNG DAN MARAH KEPADA KADER PDIP RUHUT SITompul Yang Menghina Anies Baswedan.",
2022-05-08 01:47:17,Jaka212141,Marah Karena Minta Sumbangan Ke Anies Baswedan Dan Di Tolak,
2022-05-04 07:05:46,haris_zr,"@anton_wka @Helmi_Felis Warga ngg sopan tunjuk"" ke pak Anies Baswedan, walaupun ada rasa marah dan kecewa tetap kita harus saling menghargai dan menghormati, alhamdulillah beliau tetap dlm kebaikan dan kesabaran",
2022-04-29 06:51:36,mncrgknskl,"Pak anies mustahil Tenjak beberapa Orang di sekitarnya memakai kaos bergambar dirinya dan bertulkankan 'anies baswedan presiden' ketka melakukan pembagi-jika benar-sanitizer di acara resmi dkmi dkki;Tapi Jangankan Marah, Menegur Pun Tidak.",
2022-04-28 16:48:00,cR17imo,"Mureza522 @lrahmadsyahj2p @kurawa @ismailfahmi ini seperti kasus pki, Berawal Pelecehan Terhadap Agama Membuat Masyarakat Geram. Ang diserang anies baswedan",
2022-04-27 04:57:28,ayulest98766599,@jokowi @tsamaradki goodbener anies baswedan emang keren ya pak .. wibawa.Amanah...tepatin janji Dan shaleh ... walau di hujat ..di caci maki.di fitnah tiap menit eheh pendukung pak jokowi tetapi pak anies tetap santuy ..gk Pernah marah dan gk Pernah mempermasalahkananya.,
2022-04-20 05:02:31,Reiza_Patters,"Lalu berlanjut Cebong vs Kampret. Ini biasa awalnya, lalu penggunaan istilah kampret perlahan menghilang dan digantikan dgn istilah Kadrun. Kadal Gurun. Disematkan kepada pendukung Anies Baswedan, oleh orang2 yg sama yg bahkan marah jika ada penyebutan Cina utk org keturunan Cina",
2022-04-12 02:08:43,HendrawanSTB,"Pendukung anies basalah adalah yg marah saat ratna sarumpaet digebukin (ternyata ditipu ratna) Dan Bahagia saat ade armando digebukin nyata2 eheh mereka.

Sampai Sini Kita Paham Siapa Yg Mendukung Anies.",
2022-04-07 10:05:04,panca66,Survei Hasil SMRC 3 Capres Pasangan - Cawapres Pasangan Anies Baswedan - Ahy Selalu Unggul Lawan Prabowo - Puan Dan Airlangga - Ganjar Atau Ganjar - Airlangga.Mas @chusnulch__ dkk pasti tambah marah sama anies - ahy nih 🤪🤪🤪 https://t.co/f4ynxkwrgg,
2022-04-03 15:30:54,bacautas,"Haloo @antontenabang02 😃👋 selamat membaca!
""~ Thread.
Pilpres 2024, Titik Balik Indonesia Bersama Anies Baswedan

Oleh Asyari Usman

Lelah Dan Jenuh.Bercampur Marah Bua.Rata-Rata Rakyat Merasa Seperti Itu.Jengkel Sekali Me ... ""https://t.co/3Qujw7nomk",
2022-03-21 08:05:31,Mbahhardiman,"@democrazymedia Kalem cerdas tidak pendendam tidak mudah marah meledak ledak,selalu mendahulukan hati dan nalar  penyabar semua di lindungi di ayomi, pemimpin model pak Anies Baswedan sangat di butuhkan di negara Indonesia",
2022-03-17 00:56:10,Mbahhardiman,@siregar_elang Anies Baswedan bukan type pemimpin ngamukan lebay dan mudah marah,
2022-01-31 12:11:20,urip_harjito,"@Bramaneks @geiszchalifah ga sada, Buktinya Rocky Gerung Dan Anies Baswedan Sok Pinter Terbukti Pintar, Kalo Juki Sok Pintar Apalagi Berlagak Jadi Tuhan, Banjir Lebih Mudah Diatasi Jika Jadi Presiden.
Juki Yg Buat ATURAN, DIA Sendiri YG MARAH DGN ATURAN, MULUTYA JUKI EMANG DUBUR.",
2022-01-30 09:05:54,DTar169,"@democrazymedia Ga usah marah, bahasa politik emang gitu suka memutarbalikkan fakta, menangkan saja Anies Baswedan 2024 nanti dan tumbangkan PDIP selesai perkara",
2022-01-17 01:56:13,ndoroAtmo,"Terjagab Besaran Tunjangan Anies Baswedan Dan Wagub Dki, Angkanya Fantastis, Ketua DPRD DKI Kesal
https://t.co/68yor5ixev

0,15% DR APBD DKI Jakarta,
0,15% x RP.70 t = Rp.105 m
105: 12 = RP.8.75 Milyar per Bulan?

Emang DPRD DKI BEHEH MARAH DAN NGGAK SETUJU?Emang Rakyat?",
2022-01-12 13:05:23,onomsalam2pas,"Hasto Sebut Tri Risma Dan Gibran Layak Gantikan Anies Baswedan, Pengamat Keduanya Tak Ada Prestasi Menonjol Selain Marah-Marah Https://t.co/B7RIW7LFAT @Pojoksatu
COVID-19
Rabu 12 Januari 2022
ADA 4.268.097
144.150 Meninggal
Kaesang
kubis
Ganja
Singapura
#Puasndasmu
#Puasndasmu","['PuasNdasmu', 'PuasNdasmu']"
2021-12-27 06:02:58,wisatakhalifa,Gw mah,
2021-12-11 12:57:30,kuatbastanta,"Memang Goblok Kok.
Biarin Aja Dia Marah Sampe Stroke, BG Ferdinand.
SEJARAH AKAN MENCATAT.
Anies Baswedan Dan Sebegitu Banyak Tgupp, Menghancurkan Jakarta Hanya Dalam Tempo 5 Tahun.",
2021-11-30 04:38:07,pelitakininews,"Basuki Tjahaja Purnama Bungkam Gubernur Anies Baswedan, Ahok Disebut Marah dan Muak? Begini Faktanya

https://t.co/drgsvPku3I",
2021-11-29 06:51:03,TangselTerbaru,"BASUKI TJAHAJA Purnama Buncam Gubernur Anies Baswedan, Ahok Disebut Marah Dan Muak?Begini faktanya https://t.co/cvvobsmrfa",
2021-11-03 09:56:27,Byzanti32901422,"@Aagym Benar A Kebanyakan Pembenci Jokowi Begitu ""Emosional"" Muda Tersulut, Muda Jengkel Muda Marah, Susah Reda Kebencian Nya ..., Dan Di Jakarta Pendukung Anies Pun Begitu ...

Padahal jelas anies gk kerja hanya kata dan kata ..",
2021-10-13 22:50:00,hartiwik71,@msaid_didu jd walkot dgn menteri kok perangai sama shj tho jol jol ... marah yg didahulukan ... sbg umat islam marah shat syaitan jol kajol ... COBA Contohi Pak Gubernur anies Baswedan .. terima dan DengaraH RaKaRah RaKyah RaKyah Marena Baswedan .. terima Masilarah Masilah RaKArAH RAKALAH RAKATAH ANIES BASWEDAN .. TERIMA MADIRAH RAKIRAH RAKALAH RAKATAH RAKATAH ANIES BASWEDAN .. TERIMA MADANAH MASALAH RAKIRAH RAKIRAH MADALAH RAKATAH ....,
2021-10-13 22:10:55,asma_hanik,"@msaid_didu Seorang menteri yg busanya hanya marah""... tdk menunjukkan wibawanya. Mending berhenti aja. Yg seperti ini yg dipersiapkan utk menggantikan ANIES B .. Mohon maaf aja... Beda jauh dan bkn kelas nya ANIES BASWEDAN. sy kira  .. Stlh jbtnnya ini gk bakal lanjut jd apa"" lg. 😋",
2021-10-08 22:16:04,MoonHandayani,@Tijabar Coba Simak Pak Anies Baswedan Bagaimana Kepemimpinan Beliau Dan Tuturkata Serta Cara Menyikapi Satu Masalah.BAGAIAMANA PULA MARAH MARAH NYA BELIAU PADA PELANGGAR PPKM Waktu ITU.Kenapa Tidak Dijadikan Contoh,
2021-10-08 08:04:39,Thalomoan1,"Marah"" dan memalukan kata mu tapi marah nya buat pejabat yg kerja nya Amburadul, biarlah marah"" yg pasti Masyarakat miskin selalu menjadi prioritas nya dia bukan Anies Baswedan si Raja cuap !!",
2021-07-20 15:56:27,ShenoWirang,"Kenapa Anies Baswedan tidak marah, dia anggap ini sektor esensial. Dia kan selalu dibulak-balik dan dilebih-lebihkan cara kerjanya.

Pukimak...!!! https://t.co/93tZUJdXCL",
2021-07-10 00:35:24,BayuKoosyadi,"@VIVAcoid Penulisnya goblok, itu tegas bukan marah - marah, tidak ada kata cacian dan umpatan dari Anies Baswedan.",
2021-07-09 02:02:23,BangMorinaga,"Makanya nggak heran selama ini, dia kampanye lewat peti mati. Anies Baswedan kalau marah, bukannya menakutkan, tapi kelihatan lucu dan kocak.",
2021-07-07 04:01:28,koranjakarta_id,"Anies Baswedan Sidak Dan Marah-Marah Di Pt Ekuitas Kehidupan Yang Ternyata Adalah Peraturanaan Asuransi Jiwa Dan Kesehatan, Jadi Termasuk Sektor Usaha Esensial Dan Menurut Peraturan Diperbihkan Beroperasi.https://t.co/yddgdj4vke",
2021-07-06 15:50:06,yulfentri_munaf,"Tak terbayang, jika yang ada diposisi itu bukan @aniesbaswedan, tapi sidonatur telur. Mungkin dia bisa melotot, monyong dan marah sambil pecahin ribuan butir telur sampai PPKM berakhir. 😂👇

Meledak Amarah Anies Baswedan saat Sidak ke Perkantoran https://t.co/c95zrkrgws",
2021-07-06 10:46:29,urbanasiacom,"Melihat masih ada pegawai di kantor nonsensial Yang masuk di masa ppkm darurat ini, gubernur dki jakarta anies baswedan marah Dan emanggil Orang yang janggung jawab di perausahaan tersebut.
https://t.co/dwnpeiak0h",
2021-07-06 07:16:34,tribunnews,"Anies Baswedan Marah-Marah

Saat Sidak, ia Mendapati Kantor Masih Buka.""Sekarang Tutup Kantor Ya, Dan Katakan Pada Semua Pulu Taati Aturan. Mengerti?,"" Kata Anies Yanggupi Hrd Ray White Indonesia.

https://t.co/vbpqajwqnf via @tribunnews",
2021-06-28 05:23:32,DahonoB,Memang anies baswedan Berbeda Dari Yang Lainnya ... Solusinya Aneh ... Peti Mayat ... Dan Sekarang Selfi Kuburan ... BAGI MEREKA PHANG ANGGOTA KELUARGANYA AdaKewalanan terima pasien covid19.,
2021-06-13 08:22:57,prima_alqassam,"Seingat saya, di antara kesamaan bapak2 berikut: Anies Baswedan, Irwan Prayitno, Mahyeldi Ansharullah, adalah tidak pernah tertangkap kamera marah-marah ke bawahannya. Padahal pasti ada yang mencingkahak. Dan sbg mantan pemarah, saya pribadi salut akan hal ini.",
2021-05-26 08:03:36,Gandawan,"Hampir Tiap Hari Membuli anies Baswedan Delan Info Dan Nalar Ngawur.
Giliran Sempaknya Dibuli, Dia Marah, Dia Lapor Polisi.
DASAR ANAK KECIL.
Sanah Beli Cendol Dulu ... 😂😂😂 https://t.co/7lgcynsym",
2021-05-12 17:24:48,Pemuda_Depok,Anies Baswedan Marah Dan Jemur Ratusan Asn Pemprov Dki Jakarta https://t.co/wxet4dx8hd,
2021-05-11 07:51:01,Deslini2,"@Jebulmania291 @aniesbaswedan anies baswedan Itukan Manusia Bermartabat, Dan Berkelas .. Terdidik Attitudenya, Indah Akhlaknya.
AKAN SANGAT SULIT MELIHAT BELIAU MARAH APALG KPD RAKYATYA..BAHKAN KPD SIAPAPUN ...",
2021-04-27 05:06:40,Anaksemut4,"@Pitung05907627 @marlina_idha @megapolitanpos kantor swasta yg punya anies baswedan buta yaa ...

Nanti Kalau Ada Psbb Lagi Yg Punya Kantor Dan Pemerintah Pusat Marah Sama Anies Lagi ....",
2021-04-17 02:47:41,Leonita_Lestari,"Psi, Pan, Golkar Dan Nasdem Mengzil Sikap untuk menolak pertanggungjawaban Yang disampaikan gubernur anies baswedan namun",
2021-04-10 04:28:39,ArSunantoaris,Ada Sebungkus Ketan yg disediakan padaku Kubuka Dan Ku Bercerita Tentang Anies Baswedan Daman Segala Kehebatan DP 0% Nya.Ketan Menghitam Dia Marah: ((https://t.co/umeqciplcz,
2021-03-07 03:11:53,Oposisi_Kecil,"@DIAS_0612 @d1as_0812 @freedekland4141 @dosaaman @1966arjuna @enggang_marah @dolfieotay @nurdin_kapo @azrielfirdaus3 @kang_bacot @hiroman21 @mikantian3 @perordeFo_bacot @hiroman21 @mikantian3 @perordan.bacot @biranfio. biroman21 @mikantan3 00 @raj4wal10978_xl @___ k1n9f4t1ra7a @gobeth03 @syam42933824 @mbahurekso1796 @myputun @dhea_melienda @dragonb2139577STALISS @pujisopy1 @Democrazy211 @liebe29688934 @chakrawijaya3 @labulainwaluh @irza_liberti @meffendi03 @rachmatbawono @lurahtanpowargo @dearreaksse @ulllufaMaH_fan @lurahtanpowgo @dearreaksse @ulllufah_fan_fan @lurahtaney @Mjtuhmasjoko @2lingkorizal 🛑🛑🛑_oposisi_kecil_🛑🛑🛑

4. Menko PMK: Muhadjir Effendy

Menteri Pendidikan Dan Kebudayaan Republik Indonesia Pada Kabinet Kerja Yang Majabat Sejak 27 Juli 2016 Menggantikan Anies Baswedan

#Indonesiaterancambangkrut
#Indonesiaterancambangkrut","['IndonesiaTerancamBangkrut', 'IndonesiaTerancamBangkrut']"
2021-03-07 03:04:30,Panglima_Minal,"@DIAS_0612 @d1as_0812 @freedekland4141 @dosaaman @1966arjuna @enggang_marah @dolfieotay @nurdin_kapo @azrielfirdaus3 @kang_bacot @hiroman21 @mikantian3 @perordeFo_bacot @hiroman21 @mikantian3 @perordan.bacot @biranfio. biroman21 @mikantan3 00 @raj4wal10978_xl @___ k1n9f4t1ra7a @gobeth03 @syam42933824 @mbahurekso1796 @myputun @dhea_melienda @dragonb2139577STALISS @pujisopy1 @Democrazy211 @liebe29688934 @chakrawijaya3 @labulainwaluh @irza_liberti @meffendi03 @rachmatbawono @lurahtanpowgo @dearreaksse @ulllufaH_fan1111 414 @pejuangReceeeh @mujahidpembela @kucinghitamku20 @mahmud3tuan @mawar_merah66 @acepwaluyo @antosan1201 @peri_angsaputih @haziqmzyan @dutawan🌟🌟🌟panglima_minal🌟🌟🌟

4. Menko PMK: Muhadjir Effendy

Menteri Pendidikan Dan Kebudayaan Republik Indonesia Pada Kabinet Kerja Yang Majabat Sejak 27 Juli 2016 Menggantikan Anies Baswedan

#Indonesiaterancambangkrut
#Indonesiaterancambangkrut","['IndonesiaTerancamBangkrut', 'IndonesiaTerancamBangkrut']"
2021-03-07 03:02:28,Panglima_Minal,"@D1as_0812 @DIAS_0612 @Freedomland4141 @dosaaman @1966arjuna @Enggang_marah @dolfieotay @nurdin_kapo @azrielfirdaus3 @kang_bacot @hiroman21 @mikantian3 @perordan_bacot @hiroman21 @mikantan3 @kangbacot @biranfies @kangoak @kangsot @biroman 00 @raj4wal10978_xl @___ k1n9f4t1ra7a @gobeth03 @syam42933824 @mbahurekso1796 @myputun @dhea_melienda @dragonb2139577STALISS @pujisopy1 @Democrazy211 @liebe29688934 @chakrawijaya3 @labulainwaluh @irza_liberti @meffendi03 @rachmatbawono @lurahtanpowargo @dearreaksse @ullufah_fanji111111 1177902 @ARY12_10 @SUEB_SOLEH @iwan02007 @kumis20191 @Kandar__fauzi @amburadul33 @dancerseJati1 @zahrillabung @dayatpondok🌟🌟🌟panglima_minal🌟🌟🌟

4. Menko PMK: Muhadjir Effendy

Menteri Pendidikan Dan Kebudayaan Republik Indonesia Pada Kabinet Kerja Yang Majabat Sejak 27 Juli 2016 Menggantikan Anies Baswedan

#Indonesiaterancambangkrut
#Indonesiaterancambangkrut","['IndonesiaTerancamBangkrut', 'IndonesiaTerancamBangkrut']"
2021-03-07 02:53:47,Tarida_Indah,"@D1as_0812 @DIAS_0612 @Freedomland4141 @dosaaman @1966arjuna @Enggang_marah @dolfieotay @nurdin_kapo @azrielfirdaus3 @kang_bacot @hiroman21 @mikantian3 @perordan_bacot @hiroman21 @mikantan3 @kangbacot @biranfies @kangoak @kangsot @biroman 00 @raj4wal10978_xl @___ k1n9f4t1ra7a @gobeth03 @syam42933824 @mbahurekso1796 @myputun @dhea_melienda @dragonb2139577STALISS @pujisopy1 @Democrazy211 @liebe29688934 @chakrawijaya3 @labulainwaluh @irza_liberti @meffendi03 @rachmatbawono @lurahtanpowargo @dearreaksse @ullufah_fan_fanMan @dearreaKse @ullufah_fan_fanMan @deRaManSe @lufaMane @luNoMan @lufaMane @luNaMan @ulufanMan @ulufanMan @ulufanMan @ulufan khl @petirman15 @zidanedjuniorr @gentanggentong2 @mustofanurd @deva_khrisna @bhakti_yudi @muflyahmad @saadri4 ♨️♨️♨️_tarida_indah_♨️♨️♨️

4. Menko PMK: Muhadjir Effendy

Menteri Pendidikan Dan Kebudayaan Republik Indonesia Pada Kabinet Kerja Yang Majabat Sejak 27 Juli 2016 Menggantikan Anies Baswedan

#Indonesiaterancambangkrut
#Indonesiaterancambangkrut","['IndonesiaTerancamBangkrut', 'IndonesiaTerancamBangkrut']"
2021-02-23 07:29:29,kamikazeeeh,"Menteri Pekerjaan Umum Dan Perumatan Rakyat Basuki Hadimuljono Sempat Marah-Marah Karena Sulit Bekerja Sama Gukan Gubernur Dki Jakarta Anies Baswedan UNTUK MIangani Banjir Jakarta.

Kebayang Kanapa Banjir Muncul Terus Tiap Harinya?",
2021-02-21 19:20:56,bayu_ichszan,"Soal Banjir Jakarta, Sekjen Pdip Hasto Kristiyanto Sebut Ahok Dan Menteri Pupr Marah-Marah Ke Anies Baswedan |Portal Islam https://t.co/poq0utskda",
2021-02-21 10:11:19,Kusanto8,"Emang ahok apa to?
Bukanya ada yg bilang ""mengatasi banjir jakarta lebih mudah jika jadi presiden?""

Soal Banjir Jakarta, Sekjen PDIP Hasto Kristiyanto Sebut Ahok dan Menteri PUPR Marah-marah ke Anies Baswedan https://t.co/ekd5nmByEa",
2021-02-21 09:21:03,korangala,"Soal Banjir Jakarta, Sekjen Pdip Hasto Kristiyanto Sebut Ahok Dan Menteri Papr Marah-Marah Ke Anies Baswedan https://t.co/DK1VGTQ5R9 https://t.co/dnlcxxd8hd9",
2021-02-21 06:38:04,mncrgknskl,Sekjen PDIP Hasto Kristiyanto mengungkap Menteri Pekerjaan Umum dan Perumahan Rakyat Basuki Hadimuljono sempat marah-marah karena sulit bekerja sama dengan Gubernur DKI Jakarta Anies Baswedan untuk menangani banjir Jakarta.,
2021-02-04 02:43:40,berita_diy,"Marah!Susi Pudjiastuti Tidak Terima Difitnah Jadi Cawapres anies Baswedan Dan Disingkat Asu.
#Susi #susipudjiastuti #aniesbaswedan #ANIES

https://t.co/ktr3vguftv","['Susi', 'SusiPudjiastuti', 'AniesBaswedan', 'Anies']"
2021-01-26 06:32:01,merdekadotcom,"HABIBUROKHMAN MARAH DENGAN KADER GERINDRA YANG MISTA ANIES MUNGUR: diam KAU!: Kabid Humas Lembaga Advokasi Dan Hukum Gerindra Ali Lubis Kembali Bikin Jengkel Rekan Septainya.Pemicunya, Ali Meminta Gubernur DKI Jakarta Anies Baswedan Mundur.https://t.co/jxf0uvlwon",
2021-01-24 03:04:27,ZakariaHalim17,"Tidak Udah Marah Marah Sama Anies Baswedan ..!
 Anies baswedan dipilih iheh orak jakarta dan tuhan ..👍👍👍👍https: //t.co/zzk9igfdhr",
2021-01-10 00:22:10,Shona39094647,"@RepublikaOnline menurut Saya, anies Baswedan Adalah Tokoh Yang Sangan Cerdas, Tegas, Lembut, Santun Dan Merakyat.Saya Belum Pernah Liat Beliau Kasih Liat Muka Marah, Baik Ke Staff-Nya Aplgi Ke Masyarakat Kota Jakarta.

Jakarta Cocok Dibawah Kendali Orang Bertangan Dingin Bukan Berwajah Dingin.https://t.co/1unqsrcyre",
2020-12-14 04:56:06,NanaAdelia5,"TAPI MASYARAKAT AKAL Sehat Jadi Muak Alang Kepalang Dan Marah.Terhadap Itu Semua, Apakah Pak JK Yang Dulu Mengusung Anies Baswedan (Seperti Pengakuananya Sendiri) Bisa Dan Berkenan untuk MengevalUasinya.",
2020-12-14 04:56:05,ErlyKhumalasari,"tapi masyarakat akal sehat jadi muak alang kepalang dan marah. Terhadap itu semua, apakah Pak JK yang dulu mengusung Anies Baswedan (seperti pengakuannya sendiri) bisa dan berkenan untuk mengevaluasinya.",
2020-12-14 04:56:03,mbok_minahh,"tapi masyarakat akal sehat jadi muak alang kepalang dan marah. Terhadap itu semua, apakah Pak JK yang dulu mengusung Anies Baswedan (seperti pengakuannya sendiri) bisa dan berkenan untuk mengevaluasinya.",
2020-11-29 05:13:10,_812ez4_P4hl3v1,"Baru, Tadi Malam ...‼ ️
Jakarta di Bawah Anies Baswedan Panen Penghargaan.Penghargaan Bhumandala Dari Badan Informasi Geospasial (Besar).
Sampai Mumet Sirahku Bikin Kepsyen.Apa gosah diposting aja yaa.Takut Ada Yg Marah Dan Ndleming 😁😁 https://t.co/2fkmu5r1q8",
2020-11-16 15:48:22,Hmmurahmurahhm2,"Lah Kalau Tak Diurus Kelompok
Mak Banteng' MARAH' !!!🔨

SWARAKYAT NEWS: Terlalu Sibuk Urus HRS dan Anies Baswedan, Jokowi ... https://t.co/U7XujGNPiP",
2020-10-14 12:17:35,kebijakananies_,"Sekjen PDIP DIBERITAKAN HERAN, ADA KPALA DAERAH YANG TENANG2 SAJA MELIHAT FASUM DIRUSAK.

Anies Baswedan.Tetap Tenang, Tanpa Marah-Marah, Dan Lebih Pilih Kasih Solusi.Tak Hanya Sampah Pasca Demo Yang Dibersihkan Dalam Hitungan Jam.Infrastruktur rusak sada cepat diperbaiki.https://t.co/xbn18xnzyu",
2020-09-13 17:26:49,skybeforeyou,"•Bintang dan Malam•

Senja memang kenyataannya terlihat sangat cantik. Hadirnya tenang memancing sang malam untuk menyampaikan rindu lewat bintang2. Tp tenang sj, kalau jadwalnya sudah rindu pasti aku akan datang. Jangan bosan2 dirumah, nanti pak Anies Baswedan marah.

#seulhun https://t.co/MrpXtZlpCa",['seulhun']
2020-09-13 04:18:52,Mas_zobirin,"@syahganda @tribunnews Pertanda cukong marah, BuzzeRp dan kakak pembina gagal menumbangkan goodbener Indonesia Anies Baswedan",
2020-09-11 23:10:17,beritaislamorg,Kebijakan Anies Baswedan Bikin Istana Naik Pitam Dan Buzzernya Marah Besar https://t.co/ogsr1kwxoa,
2020-09-11 15:35:55,reformasimental,Benny K Harman: Kebijakan Anies Baswedan Bikin Istana Naik Pitam Dan Buzzernya Marah Besar https://t.co/a6u3ngkb9z,
2020-09-11 15:26:12,swarakyatcom,"Kebijakan Anies Baswedan Bikin Istana Naik Pitam Dan Buzzernya Marah Besar
https://t.co/i6ug9zverh",
2020-09-11 10:24:33,ZakariaHalim17,Anies adalah pilihan Tuhan ..Benny K Harman: Kebijakan Anies Baswedan Bikin Istana Naik Pitam dan Buzzernya Marah Besar https://t.co/5DujbJBXtr,
2020-09-11 03:30:15,ZakariaHalim17,Anies adalah pilihan Tuhan ..Benny K Harman: Kebijakan Anies Baswedan Bikin Istana Naik Pitam dan Buzzernya Marah Besar https://t.co/5DujbJkmBT,
