word,val
pembubaran,1
disonansi,1
terganggu,1
mengganggu,1
kesulitan,1
kesusahan,1
ketidakpercayaan,1
gangguan,1
terganggu,1
tidak digunakan,1
perceraian,1
mendominasi,1
mendominasi,1
dominasi,1
kiamat,1
mengerikan,1
duel,1
kesedihan,1
menipu,1
bermuka dua,1
paksaan,1
sekarat,1
gempa bumi,1
patung,1
mengerikan,1
siku,1
peri,1
eliminasi,1
beban,1
tak ada habisnya,1
musuh,1
melaksanakan,1
permusuhan,1
diperbudak,1
terjerat,1
epidemi,1
membasmi,1
pemberantasan,1
meletus,1
letusan,1
meningkatkan,1
menjauhkan diri,1
menghindari,1
pengusiran,1
kejahatan,1
Eksaserbasi,1
berlebihan,1
kejengkelan,1
perangsangan,1
merangsang,1
eksekusi,1
algojo,1
mengasingkan,1
mengeluarkan,1
kata lontaran,1
meledak,1
eksplosif,1
pengusiran,1
pemusnahan,1
memadamkan,1
kegagalan,1
keliru,1
dusta,1
pemalsuan,1
fatal,1
takut,1
biaya,1
merasa,1
berpagar,1
ganas,1
keganasan,1
semangat,1
bermusuhan,1
feodalisme,1
bikinan,1
iblis,1
garang,1
bertarung,1
berkelahi,1
senjata api,1
cocok,1
menyolok,1
bulu domba,1
mencambuk,1
fluktuasi,1
musuh,1
perampokan,1
mengejuntukan,1
memaksa,1
secara paksa,1
lengan bawah,1
kehilangan,1
ditinggalkan,1
busuk,1
tipuan,1
curang,1
fanatik,1
hiruk -pikuk,1
gesekan,1
mengerikan,1
mengerutkan kening,1
menggagalkan,1
frustrasi,1
frustrasi,1
buronan,1
marah,1
sangat marah,1
dengan marah,1
perapian,1
kehebohan,1
kemarahan,1
keributan,1
empedu,1
tiang gantungan,1
gang,1
gent,1
omong kosong,1
Silau,1
menyolok,1
gnome,1
Tanpa Tuhan,1
gonorea,1
menanduk,1
berdarah,1
merebut,1
parut,1
kisi,1
ketamakan,1
keluhan,1
sedih,1
suram,1
merogoh,1
menggeram,1
menggeram,1
sakit hati,1
kasar,1
ngomel,1
pemarah,1
guillotine,1
bersalah,1
senjata,1
halter,1
melumpuhkan,1
gantung,1
mengganggu,1
melecehkan,1
Harbinger,1
mengeras,1
berbahaya,1
Harry,1
kekerasan,1
membenci,1
kebencian,1
membenci,1
kebencian,1
angkuh,1
malapetaka,1
neraka,1
jahat,1
mendesis,1
memukul,1
berita palsu,1
bencana,1
tunawisma,1
pembunuhan,1
pembunuhan,1
jujur,1
tudung,1
tiupan,1
keputusasan,1
mengerikan,1
mengerikan,1
mengerikan,1
kengerian,1
sandera,1
agresif,1
pertempuran,1
permusuhan,1
panas,1
melolong,1
Huff,1
omong kosong,1
menghina,1
memburu,1
terluka,1
menyakitkan,1
sakit,1
histeris,1
kebodohan,1
bodoh,1
sakit,1
liar,1
ketidaksahan,1
Palsu,1
dilarang,1
ketidakdewasaan,1
asusila,1
imoralitas,1
kedap,1
melibatkan,1
ketidakmampuan,1
dipenjara,1
hukuman penjara,1
tidak dapat diterima,1
tidak pantas,1
kekurangan perhatian,1
penahanan,1
dalam hal,1
pembakar,1
dupa,1
inses,1
menghasut,1
tidak sesuai,1
tidak kompeten,1
tidak sesuai,1
tidak peduli,1
tidak nyaman,1
tidak percaya,1
tak tersembuhkan,1
ketidaksenonohan,1
indenture,1
mendakwa,1
pengabaian,1
marah,1
kemarahan,1
indoktrinasi,1
tidak kompeten,1
ketidaksamaan,1
tidak bisa dimaafkan,1
terkenal jahat,1
pembunuhan anak,1
kekanak -kanakan,1
neraka,1
kafir,1
ketidaksetiaan,1
menimbulkan,1
pelanggaran,1
menghalangi,1
tidak manusiawi,1
bermusuhan,1
melukai,1
berbahaya,1
cedera,1
ketidakadilan,1
yg tdk berlaku,1
gila,1
penyakit jiwa,1
merasa tidak aman,1
berbahaya,1
tidak penting,1
naluriah,1
ketidakcukupan,1
menyinggung,1
menghina,1
pemberontakan,1
intens,1
tak berkesudahan,1
mengganggu,1
intimidasi,1
tak tertahankan,1
intoleransi,1
intoleran,1
keras kepala,1
pengacau,1
mengganggu,1
menyerbu,1
penyerbu,1
invasi,1
kerumitan,1
keterlibatan,1
marah,1
kemarahan,1
tidak dapat didamaikan,1
sifat lekas marah,1
rongseng,1
menjengkelkan,1
gangguan,1
tusukan,1
cemburu,1
kecemburuan,1
membahayakan,1
berengsek,1
menendang,1
sepakan,1
menculik,1
pembunuhan,1
renda,1
tertinggal,1
bulu mata,1
terpendam,1
lahar,1
pelanggaran hukum,1
gugatan,1
pengacara,1
disahkan,1
leukemia,1
fitnah,1
membebaskan,1
berbohong,1
petir,1
terbatas,1
minuman keras,1
mengajukan perkara,1
suka beperkara,1
orang yang parah,1
segan,1
benci,1
menjijikkan,1
kesepian,1
kehilangan,1
kekalahan,1
kehilangan,1
kekerasan,1
kegilaan,1
gila,1
berbohong,1
Lynch,1
gila,1
menjengkelkan,1
orang gila,1
kegilaan,1
jahat,1
kebencian,1
jahat,1
memfitnah,1
ganas,1
malpraktek,1
mengoyakkan,1
Gila,1
manipulasi,1
Pembunuhan,1
bela diri,1
kesenangan karena menderita,1
Pembantaian,1
penguasaan,1
mencampuri,1
sandiwara sensasi,1
ancaman,1
mengancam,1
kuat,1
milisi,1
kelakuan buruk,1
kesalahpahaman,1
menderita,1
penderitaan,1
menyesatkan,1
menyesatkan,1
salah menaruhkan,1
salah diartikan,1
salah saji,1
nyonya,1
salah paham,1
massa,1
mengejek,1
penganiayaan,1
uang,1
monstrositas,1
mudah marah,1
moral,1
moral,1
morbiditas,1
kematian,1
nyamuk,1
sedih,1
sarung tangan bulu,1
mug,1
bagal,1
pembunuhan,1
pembunuh,1
kejam,1
musikal,1
mutilasi,1
pemberontakan,1
bergumam,1
lamur,1
mengomel,1
tidak menyenangkan,1
penyangkalan,1
ditelantarkan,1
nepotisme,1
Nether,1
jelatang,1
bising,1
Ketidakpatuhan,1
kemasyhuran,1
gangguan,1
membina,1
keberatan,1
wajib,1
melenyapkan,1
dilenyapkan,1
pelupaan,1
menjengkelkan,1
kecabulan,1
rintangan,1
menghalangi,1
obstruktif,1
menjijikkan,1
menyinggung,1
tersinggung,1
pelanggar,1
pelanggaran,1
menyinggung,1
berat,1
opera,1
dogmatis,1
candu,1
lawan,1
ditentang,1
berlawanan,1
menindas,1
penindasan,1
menindas,1
penindas,1
orc,1
orkestra,1
siksaan,1
mengusir,1
ledakan,1
teriakan,1
kebiadaban,1
sombong,1
sangat kuat,1
terlalu mahal,1
terhutang,1
menyakitkan,1
kelumpuhan,1
mengurangi,1
rintik,1
kekurangan,1
Payback,1
penalti,1
penetrasi,1
penjara,1
kebinasaan,1
jahat,1
pelaku,1
menganiaya,1
penganiayaan,1
jahat,1
pemutarbalikan,1
orang cabul,1
pesimisme,1
hama,1
palsu,1
piket,1
piket,1
menjarah,1
kekesalan,1
bajak laut,1
batu sandungan,1
ceria,1
menjarah,1
perburuan liar,1
racun,1
keracunan,1
beracun,1
polemik,1
politik,1
kerasukan,1
milik,1
pound,1
kemiskinan,1
pow,1
kuat,1
tidak berdaya,1
menghalangi,1
prasangka,1
prasangka,1
lancang,1
berpura-pura,1
tusukan,1
penjara,1
tawanan,1
duniawi,1
kata -kata kotor,1
dilarang,1
menuntut,1
provokasi,1
memprovokasi,1
membongkar,1
psikosis,1
memukul,1
dihukum,1
menghukum,1
hukuman,1
menghukum,1
kebingungan,1
pertengkaran,1
rakyat jelata,1
fanatik,1
kemarahan,1
hebat,1
serangan,1
rel,1
Ram,1
mengamuk,1
tebusan,1
memperkosa,1
rap,1
bajingan,1
peringkat,1
sambutan hangat,1
sangat lapar,1
ocehan,1
reaksi,1
pemberontak,1
pemberontakan,1
bandel,1
resesi,1
kepulangan sakit,1
ceroboh,1
kenekatan,1
menolak,1
penolakan,1
menolak,1
mengembalikan ke penjara,1
lalai,1
menghapus,1
Renegade,1
meninggalkan,1
membayar kembali,1
penolak,1
teguran,1
pembalasan,1
mencela,1
penolakan,1
membenci,1
marah,1
kebencian,1
berhenti,1
perlawanan,1
melawan,1
restitusi,1
menahan,1
larangan,1
membalas,1
pembalasan,1
pembalasan,1
menarik,1
retribusi,1
pembalasan dendam,1
kemunduran,1
menarik kembali,1
memberontak,1
menjijikkan,1
revolusi,1
pistol,1
perubahan,1
reumatik,1
pita,1
ejekan,1
konyol,1
senapan,1
Ringer,1
kerusuhan,1
liar,1
persaingan,1
rampok,1
perampokan,1
roket,1
benteng,1
baris,1
hancur,1
Ruinous,1
kejam,1
pedang,1
sabotase,1
bar,1
sarkasme,1
Setan,1
liar,1
kebiadaban,1
memalukan,1
kambing hitam,1
bekas luka,1
kelangkaan,1
ketakutan,1
perpecahan,1
skizofrenia,1
mencemoohkan,1
memarahi,1
omelan,1
hangus,1
cemooh,1
kalajengking,1
bajingan,1
momok,1
scrapie,1
berteriak,1
teriakan,1
kacau,1
sektarian,1
hasutan,1
memisahkan,1
egois,1
bodoh,1
kalimat,1
separatis,1
belenggu,1
goyah,1
palsu,1
mengasah,1
pecah,1
kerang,1
kotoran,1
menggigil,1
terkejut,1
jelek,1
menembak,1
penembakan,1
mengutil,1
kekurangan,1
tembakan,1
berteriak,1
mendorong,1
menjerit,1
melengking,1
menghindari,1
memuakkan,1
membara,1
dosa,1
penuh dosa,1
jahat,1
pendosa,1
persaudaraan wanita,1
mendesis,1
miring,1
selip,1
pertempuran kecil,1
membanting,1
fitnah,1
tamparan,1
memotong,1
pembantaian,1
rumah jagal,1
pembantai,1
budak,1
perbudakan,1
membunuh,1
pembunuh,1
cercaan,1
pelacur,1
licik,1
memukul,1
menghancurkan,1
bau,1
memukul,1
melimpahi,1
penyelundup,1
menggeram,1
gertakan,1
menyelinap,1
mengejek,1
sosialis,1
tentara,1
mesum,1
sakit,1
tamparan,1
memukul,1
bertengkar,1
tombak,1
tulang belakang,1
dendam,1
pendendam,1
memadamkan,1
menusuk,1
jalan buntu,1
perselisihan,1
macet,1
mencuri,1
Sterling,1
tertahan,1
Stigma,1
menyengat,1
pelit,1
dicuri,1
batu,1
badai,1
menyerbu,1
tegang,1
mencekik,1
perselisihan,1
memukul,1
dilucuti,1
berjuang,1
penaklukan,1
subsidi,1
subversi,1
subversif,1
memperdaya,1
menuntut,1
mati lemas,1
kecenderungan bunuh diri,1
bunuh diri,1
cemberut,1
menekan,1
penekanan,1
supremasi,1
biaya tambahan,1
bermuka masam,1
mencurigakan,1
tanda Nazi,1
menangani,1
cakar,1
tarif,1
mengejek,1
menggoda,1
menggoda,1
badai,1
ketegangan,1
sangat buruk,1
terorisme,1
teroris,1
meneror,1
pencurian,1
teokratis,1
maling,1
tanpa berpikir,1
menggasak,1
ancaman,1
mengancam,1
mengancam,1
mengirik,1
mencekik,1
penjahat,1
berdebar,1
gemuruh,1
bertengkar,1
mengencangkan,1
omelan,1
mentolerir,1
menyiksa,1
torpedo,1
menyiksa,1
menyiksa,1
mudah tersinggung,1
kekerasan,1
pengkhianat,1
traumatis,1
berbahaya,1
pengkhianatan,1
pengkhianatan,1
merawat,1
pohon,1
getaran,1
pelanggaran,1
tipu daya,1
tersandung,1
troll,1
sulit,1
keributan,1
rusuh,1
pergolakan,1
kekacauan,1
pergumulan,1
kejam,1
tiran,1
maag,1
ultimatum,1
tidak dapat dicapai,1
tak terkekang,1
tidak peduli,1
tidak pasti,1
tidak terkendali,1
dibayar rendah,1
tidak diinginkan,1
tidak setara,1
tidak adil,1
ketidakadilan,1
tidak memaafkan,1
tidak ramah,1
tidak terpenuhi,1
tidak berterima kasih,1
tidak bahagia,1
tidak adil,1
tidak dapat dibenarkan,1
kasar,1
melanggar hukum,1
sial,1
tidak dibayar,1
tegar,1
tidak tenang,1
tidak simpati,1
tidak terpikirkan,1
tidak diinginkan,1
tidak dapat dipercaya,1
pergolakan,1
pemberontakan,1
gundah,1
merebut,1
dirampas,1
Vampir,1
keras,1
Vendetta,1
pembalasan dendam,1
dendam,1
bisa ular,1
berbisa,1
lubang angin,1
hama,1
melawan,1
memveto,1
jahat,1
korban,1
menjadi korban,1
jahat,1
membersihkan nama baik,1
pendendam,1
pelanggaran,1
kekerasan,1
brutal,1
dengan keras,1
keracunan,1
keriangan,1
Pilih,1
kekasaran,1
omongan,1
sipir,1
perang,1
berkenaan dengan perang,1
melengkung,1
pejuang,1
sia-sia,1
boros,1
dara,1
cambuk,1
disengaja,1
Wimpy,1
menggerenyet,1
nirkabel,1
penyihir,1
sihir,1
wop,1
kata-kata,1
tidak berguna,1
luka,1
pertengkaran,1
kemarahan,1
melampiaskan,1
kecelakaan,1
hancur,1
orang celaka,1
memeras,1
pelanggaran,1
salah,1
salah,1
berteriak,1
menyalak,1
anak muda,1
berang,1
benci,1
berang,1
dongkol,1
berang,1
dongkol,1
jengkel,1
marah,1
sebal,1
gusar,1
naik darah,1
murka,1
berang,1
dongkol,1
gemas,1
geram,1
antipati,1
berang,1
marah,1
meradang,1
redang,1
marah,1
menyerangsang,1
ganas,1
benci,1
bingit,1
busuk,1
cemburu,1
dendam,1
hasad,1
marah,1
merungut,1
benci,1
berang,1
dongkol,1
marah,1
